wrapper_airfoil.dat
	1.00000 	0.00000
	0.99897 	0.00036
	0.99590 	0.00139
	0.99078 	0.00301
	0.98365 	0.00505
	0.97453 	0.00731
	0.96346 	0.00957
	0.95048 	0.01162
	0.93566 	0.01327
	0.91904 	0.01441
	0.90071 	0.01500
	0.88072 	0.01509
	0.85917 	0.01484
	0.83615 	0.01450
	0.81174 	0.01433
	0.78606 	0.01463
	0.75920 	0.01563
	0.73127 	0.01749
	0.70239 	0.02026
	0.67268 	0.02386
	0.64226 	0.02809
	0.61126 	0.03266
	0.57980 	0.03724
	0.54801 	0.04152
	0.51603 	0.04520
	0.48397 	0.04809
	0.45199 	0.05010
	0.42020 	0.05125
	0.38874 	0.05162
	0.35774 	0.05136
	0.32732 	0.05064
	0.29761 	0.04961
	0.26873 	0.04839
	0.24080 	0.04704
	0.21394 	0.04555
	0.18826 	0.04390
	0.16385 	0.04202
	0.14083 	0.03986
	0.11928 	0.03738
	0.09929 	0.03456
	0.08096 	0.03143
	0.06434 	0.02804
	0.04952 	0.02448
	0.03654 	0.02083
	0.02547 	0.01716
	0.01635 	0.01355
	0.00922 	0.01004
	0.00410 	0.00662
	0.00103 	0.00329
	0.00000 	0.00000
	0.00103 	-0.00717
	0.00410 	-0.01436
	0.00922 	-0.02157
	0.01635 	-0.02878
	0.02547 	-0.03590
	0.03654 	-0.04280
	0.04952 	-0.04933
	0.06434 	-0.05531
	0.08096 	-0.06056
	0.09929 	-0.06495
	0.11928 	-0.06838
	0.14083 	-0.07083
	0.16385 	-0.07235
	0.18826 	-0.07307
	0.21394 	-0.07317
	0.24080 	-0.07286
	0.26873 	-0.07236
	0.29761 	-0.07185
	0.32732 	-0.07147
	0.35774 	-0.07128
	0.38874 	-0.07130
	0.42020 	-0.07143
	0.45199 	-0.07155
	0.48397 	-0.07150
	0.51603 	-0.07109
	0.54801 	-0.07020
	0.57980 	-0.06871
	0.61126 	-0.06658
	0.64226 	-0.06382
	0.67268 	-0.06050
	0.70239 	-0.05675
	0.73127 	-0.05271
	0.75920 	-0.04850
	0.78606 	-0.04427
	0.81174 	-0.04010
	0.83615 	-0.03605
	0.85917 	-0.03215
	0.88072 	-0.02839
	0.90071 	-0.02474
	0.91904 	-0.02118
	0.93566 	-0.01770
	0.95048 	-0.01432
	0.96346 	-0.01109
	0.97453 	-0.00807
	0.98365 	-0.00538
	0.99078 	-0.00313
	0.99590 	-0.00143
	0.99897 	-0.00036
	1.00000 	0.00000
